Дата просмотра,Кол-во рекламы,Вид рекламы,Количество повторений
6,59,Микроволновые печи Midea,5
7,46,Гироскутеры Hoverbot,12
8,44,Ролик,10
7,44,Велосипеды Stark,14
6,83,Палатки Alexika,10
6,68,Наручные часы Traser,8
6,23,Планшеты Xiaomi,9
6,0,Наушники JBL,6
8,47,Холодильники LG,10
7,68,Ноутбуки Xiaomi,11
7,69,Кин,7
7,41,Наручные часы Traser,14
8,62,Экскурс,11
7,1,Микроволновые печи Gorenje,6
6,85,Смартфоны Samsung,11
7,89,Ноутбуки Apple,9
7,7,Ноутбуки Lenovo,7
7,52,Наушники JBL,10
8,5,Ноутбуки Xiaomi,13
8,97,Кофеварки и кофемашины DeLonghi,9
7,26,Холодильники Atlant,10
8,50,Смартфоны Apple,11
7,11,Ноутбуки Apple,10
7,27,Гироскутеры Hoverbot,5
8,64,Смартфоны Samsung,7
8,65,Ноутбуки Samsung:HP,12
8,73,Концерт,15
8,8,Парфюмерия Giorgio Armani,6
6,71,Ноутбуки Huawei,7
6,9,Холодильники Бирюса,11
6,51,Холодильники Бирюса,8
7,1,Газонокосилки PATRIOT,6
8,90,Кофеварки и кофемашины DeLonghi,9
8,66,Наручные часы Jacques Lemans,14
6,74,Сериал,11
8,39,Кондиционеры Hisense,12
6,71,Наушники Xiaomi,11
7,3,Смартфоны Samsung,6
8,19,Газонокосилки Huter,10
8,60,Кондиционеры Hisense,10
7,5,Планшеты BQ,12
7,22,Газонокосилки Зубр,10
8,52,Парфюмерия SHAIK,10
8,28,Смартфоны Xiaomi,8
6,100,Ноутбуки Apple,7
8,42,Купальник,7
7,52,Планшеты Lenovo,6
6,96,Микроволновые печи Gorenje,6
6,15,Ноутбуки Huawei,11
8,92,Гироскутеры Zaxboard,11
6,74,Путешестви,11
6,35,Умные часы и браслеты Apple,7
6,63,Гироскутеры Zaxboard,12
7,98,Ноутбуки Huawei,6
6,96,Телевизоры Samsung,6
6,6,Ноутбуки Samsung:HP,15
8,67,Кондиционеры ROYAL Clima,14
6,49,Парфюмерия Killian,9
7,79,Ноутбуки Samsung:HP,7
6,2,Кофеварки и кофемашины TEENRA,7
6,24,Смартфоны One Plus,13
8,23,Велосипеды Forward,13
8,11,Смартфоны One Plus,15
8,82,Газонокосилки Huter,16
8,29,Наручные часы Casio,13
6,8,Умные часы и браслеты Xiaomi,6
8,72,Парфюмерия Fragrance World,9
6,81,Велосипеды Forward,11
6,91,Наручные часы Xiaomi,9
6,83,Ноутбуки Huawei,10
7,60,Газонокосилки Ресанта,10
6,35,Палатки BTrace,15
8,64,Ноутбуки Acer,11
6,13,Велосипеды STELS,7
8,51,Велосипеды Stark,11
8,25,Велосипеды STELS,9
6,14,Палатки BTrace,10
7,71,Ноутбуки Apple,10
8,90,Холодильники Nordfrost,10
8,65,Надувные бассейн,10
7,11,Наручные часы Xiaomi,12
6,93,Наручные часы Casio,8
8,88,Планшеты Xiaomi,8
7,37,Сериал,8
7,8,Вентиляторы Equation,13
6,62,Кондиционеры Ballu,9
7,54,Холодильники Бирюса,7
8,44,Туристические рюкзак,14
7,39,Наручные часы Traser,7
7,19,Надувные бассейн,13
8,70,Планшеты BQ,10
8,85,Планшеты Apple,12
8,52,Велосипеды Stark,13
6,79,Планшеты Apple,11
7,49,Гироскутеры MiniPro,10
6,47,Вентиляторы Equation,7
7,46,Наручные часы Jacques Lemans,8
7,43,Газонокосилки Huter,9
7,41,Микроволновые печи Midea,6
7,90,Кофеварки и кофемашины DeLonghi,9
6,83,Планшеты Huawei,9
7,65,Велосипеды Stark,13
8,26,Парфюмерия Killian,13
7,16,Ролик,12
6,86,Смартфоны Samsung,9
8,34,Палатки Tplus,11
8,32,Газонокосилки PATRIOT,7
6,90,Ноутбуки Xiaomi,13
7,14,Умные часы и браслеты Samsung,6
6,57,Наручные часы Xiaomi,10
7,42,Газонокосилки Champion,9
7,35,Надувные бассейн,11
6,55,Наушники Beats,9
6,86,Смартфоны Huawei,13
7,33,Концерт,10
6,27,Планшеты BQ,10
6,16,Микроволновые печи Gorenje,8
7,94,Наручные часы Jacques Lemans,12
7,59,Вентиляторы Equation,13
8,44,Телевизоры Xiaomi,11
6,21,Умные часы и браслеты Samsung,6
6,22,Вентиляторы Centek,5
6,34,Планшеты Apple,11
6,22,Газонокосилки Зубр,9
6,25,Телевизоры Xiaomi,15
7,8,Парфюмерия SHAIK,11
6,91,Палатки Tplus,12
8,77,Гироскутеры Zaxboard,9
7,54,Чемодан,12
7,48,Велосипеды STELS,9
6,93,Ноутбуки Huawei,14
6,101,Компьютерные кресл,5
6,51,Ноутбуки Lenovo,9
8,90,Ноутбуки Asus,11
7,32,Смартфоны Xiaomi,18
8,88,Наручные часы Traser,7
8,92,Парфюмерия Fragrance World,9
8,93,Наручные часы Apple,19
6,92,Наручные часы Casio,12
6,37,Наушники JBL,6
8,8,Микроволновые печи Bosch,7
6,13,Кондиционеры Electrolux,8
7,25,Планшеты Samsung,16
7,40,Ноутбуки Apple,8
8,79,Экскурс,15
7,14,Кофеварки и кофемашины Bosch,15
7,30,Кофеварки и кофемашины Bosch,10
8,2,Смартфоны Samsung,6
6,68,Велосипеды STELS,10
6,55,Велосипеды Forward,6
8,89,Планшеты Lenovo,5
6,41,Газонокосилки PATRIOT,9
7,6,Кондиционеры Electrolux,11
6,44,Экскурс,13
7,26,Вентиляторы Scarlett,8
8,1,Ролик,8
6,31,Планшеты Xiaomi,8
7,48,Наручные часы Xiaomi,11
6,78,Ноутбуки Apple,5
8,89,Компьютерные кресл,13
6,63,Телевизоры Samsung,12
6,33,Холодильники Samsung,15
6,97,Гироскутеры MiniPro,12
8,73,Умные часы и браслеты Apple,9
7,46,Газонокосилки Huter,12
8,10,Планшеты Apple,9
7,25,Наручные часы Jacques Lemans,10
6,80,Купальник,11
6,6,Ролик,10
7,78,Вентиляторы Scarlett,12
7,54,Сериал,8
6,76,Наушники JBL,10
7,36,Холодильники Beko,7
6,19,Палатки Tplus,7
8,56,Наручные часы Xiaomi,6
6,98,Палатки High Peak,8
7,96,Микроволновые печи Gorenje,6
6,92,Умные часы и браслеты Xiaomi,6
8,70,Ноутбуки Huawei,13
7,51,Газонокосилки Зубр,6
6,57,Компьютерные кресл,11
7,65,Наручные часы Apple,9
6,23,Смартфоны Xiaomi,14
8,16,Вентиляторы Centek,12
7,23,Палатки Alexika,19
6,68,Наушники Apple,7
6,88,Микроволновые печи Bosch,13
8,12,Ролик,11
6,55,Наушники Xiaomi,11
8,96,Холодильники Atlant,10
7,91,Микроволновые печи Gorenje,13
7,24,Газонокосилки Huter,12
8,58,Холодильники Nordfrost,9
6,54,Палатки Tplus,8
7,41,Путешестви,10
8,72,Наручные часы Xiaomi,10
8,90,Палатки Talberg,5
7,11,Палатки BTrace,12
8,89,Купальник,18
6,79,Парфюмерия Fragrance World,17
8,77,Умные часы и браслеты Apple,7
7,0,Палатки High Peak,5
6,17,Компьютерные кресл,10
7,71,Газонокосилки Ресанта,10
8,85,Парфюмерия Killian,11
8,34,Сумк,8
8,46,Палатки High Peak,8
8,42,Микроволновые печи Midea,8
6,18,Умные часы и браслеты Xiaomi,13
6,47,Смартфоны Huawei,10
6,88,Парфюмерия Killian,8
6,47,Палатки High Peak,12
6,18,Туристические рюкзак,8
7,19,Наручные часы Xiaomi,9
7,76,Газонокосилки Ресанта,10
8,14,Наушники Apple,8
8,22,Вентиляторы Equation,9
7,67,Наушники Beats,11
6,43,Планшеты Xiaomi,7
7,43,Велосипеды Forward,9
6,81,Вентиляторы Centek,11
6,21,Планшеты BQ,10
7,72,Планшеты Lenovo,10
8,18,Планшеты Apple,5
7,37,Парфюмерия SHAIK,6
6,95,Ноутбуки Samsung:HP,12
6,11,Холодильники Samsung,14
8,8,Компьютерные кресл,11
8,88,Умные часы и браслеты Samsung,9
8,29,Микроволновые печи Bosch,11
7,90,Купальник,13
7,93,Ноутбуки Xiaomi,15
6,70,Надувные бассейн,10
6,9,Умные часы и браслеты Xiaomi,14
6,40,Микроволновые печи Gorenje,7
7,12,Смартфоны One Plus,10
6,43,Палатки High Peak,12
7,55,Надувные бассейн,10
8,32,Надувные бассейн,9
8,25,Сумк,8
7,34,Смартфоны Samsung,10
7,46,Концерт,10
8,8,Наушники JBL,14
7,39,Велосипеды STELS,7
7,28,Микроволновые печи Maunfeld,15
6,75,Кофеварки и кофемашины TEENRA,11
6,6,Смартфоны Samsung,9
7,47,Палатки BTrace,8
7,3,Кин,5
8,7,Наушники Xiaomi,5
7,-2,Наручные часы Jacques Lemans,5
6,0,Наручные часы Jacques Lemans,6
6,38,Микроволновые печи Bosch,9
8,48,Кондиционеры Ballu,16
6,43,Туристические рюкзак,10
8,33,Гироскутеры Zaxboard,10
8,91,Планшеты Xiaomi,13
8,7,Микроволновые печи Gorenje,14
8,29,Парфюмерия Giorgio Armani,9
6,50,Кофеварки и кофемашины DeLonghi,9
7,70,Смартфоны Samsung,11
7,19,Туристические рюкзак,13
7,29,Планшеты Samsung,7
6,50,Кофеварки и кофемашины Bosch,6
8,72,Сумк,15
6,52,Чемодан,7
6,51,Газонокосилки PATRIOT,10
7,21,Газонокосилки Huter,18
6,60,Палатки Talberg,10
7,53,Ноутбуки Lenovo,12
8,10,Планшеты BQ,6
8,31,Смартфоны Xiaomi,9
8,72,Наручные часы Apple,7
8,33,Кондиционеры Haier,17
7,94,Вентиляторы Centek,9
8,93,Микроволновые печи Midea,10
6,34,Чемодан,9
8,26,Ролик,6
7,76,Кондиционеры Hisense,7
6,14,Вентиляторы Equation,15
7,40,Наушники JBL,7
7,88,Гироскутеры Hoverbot,10
6,96,Путешестви,10
8,22,Ролик,6
6,79,Наручные часы Jacques Lemans,9
7,86,Парфюмерия Fragrance World,10
8,60,Холодильники Beko,10
6,28,Микроволновые печи Bosch,14
8,95,Палатки Alexika,10
6,29,Сумк,8
7,40,Микроволновые печи Gorenje,14
8,77,Наручные часы Casio,7
6,12,Микроволновые печи Midea,7
8,63,Холодильники Nordfrost,12
8,100,Планшеты Xiaomi,7
8,93,Газонокосилки Зубр,11
8,76,Микроволновые печи Gorenje,11
8,36,Холодильники Бирюса,10
7,84,Гироскутеры MiniPro,12
6,38,Наушники Beats,7
7,46,Ноутбуки Xiaomi,13
7,7,Велосипеды STELS,12
7,28,Гироскутеры Hoverbot,6
6,27,Ноутбуки Acer,10
6,38,Ноутбуки Apple,8
7,71,Палатки BTrace,9
6,64,Ноутбуки Asus,10
6,5,Телевизоры Samsung,7
7,78,Ноутбуки Apple,14
8,19,Парфюмерия Killian,8
8,102,Наушники Apple,7
7,8,Ролик,11
8,23,Ноутбуки Lenovo,7
7,36,Велосипеды STELS,6
8,43,Холодильники Samsung,7
7,16,Газонокосилки PATRIOT,8
6,69,Телевизоры Samsung,8
7,89,Холодильники Бирюса,15
7,83,Холодильники Бирюса,10
7,73,Гироскутеры Hoverbot,9
6,63,Умные часы и браслеты Samsung,11
7,39,Газонокосилки Ресанта,12
8,54,Наручные часы Apple,15
6,34,Холодильники Nordfrost,13
8,19,Газонокосилки Champion,11
8,32,Гироскутеры MiniPro,10
8,76,Наручные часы Xiaomi,15
7,59,Умные часы и браслеты Samsung,10
7,94,Купальник,8
7,53,Холодильники LG,13
6,71,Наручные часы Xiaomi,9
7,25,Вентиляторы Centek,6
8,98,Велосипеды Forward,10
6,65,Микроволновые печи Midea,11
7,38,Ноутбуки Lenovo,8
6,36,Газонокосилки Зубр,15
7,71,Наручные часы Casio,7
6,52,Гироскутеры Zaxboard,13
8,74,Гироскутеры MiniPro,9
7,81,Палатки Tplus,8
8,18,Ноутбуки Asus,11
8,13,Наушники JBL,8
6,23,Планшеты Apple,10
8,19,Надувные бассейн,7
7,77,Ноутбуки Samsung:HP,7
7,40,Смартфоны Apple,13
8,4,Планшеты Lenovo,8
6,7,Наручные часы Traser,12
6,90,Велосипеды Stark,5
6,93,Наручные часы Jacques Lemans,12
7,78,Кондиционеры ROYAL Clima,8
8,89,Вентиляторы Centek,10
7,30,Смартфоны Huawei,11
6,83,Ноутбуки Lenovo,8
8,81,Ноутбуки Acer,10
8,99,Ноутбуки Acer,9
7,14,Вентиляторы Ballu,13
6,35,Вентиляторы Centek,6
7,59,Кофеварки и кофемашины Bosch,8
7,42,Наушники Beats,9
8,72,Парфюмерия Killian,11
6,76,Газонокосилки Ресанта,6
6,35,Парфюмерия SHAIK,10
7,12,Кофеварки и кофемашины DeLonghi,5
6,20,Кофеварки и кофемашины TEENRA,6
6,80,Вентиляторы Scarlett,7
8,14,Кондиционеры ROYAL Clima,13
6,8,Наушники Beats,13
6,30,Гироскутеры Hoverbot,7
6,10,Смартфоны Samsung,7
8,16,Холодильники Atlant,10
6,30,Газонокосилки Ресанта,10
7,3,Наушники JBL,6
7,93,Гироскутеры Zaxboard,8
7,43,Велосипеды Novatrack,10
7,4,Вентиляторы Centek,10
6,60,Наручные часы Casio,12
6,8,Кондиционеры Electrolux,5
8,75,Кофеварки и кофемашины DeLonghi,15
8,71,Ролик,10
7,56,Телевизоры Xiaomi,11
8,36,Кондиционеры Ballu,14
7,74,Микроволновые печи Midea,8
7,75,Телевизоры LG,6
8,68,Купальник,19
7,42,Вентиляторы Equation,8
8,5,Наушники JBL,11
6,32,Наушники Apple,7
8,41,Микроволновые печи Bosch,7
8,64,Холодильники Samsung,17
6,27,Наручные часы Apple,9
8,91,Ноутбуки Apple,13
7,29,Смартфоны Samsung,8
6,55,Микроволновые печи Bosch,10
8,26,Вентиляторы Equation,7
6,49,Наручные часы Xiaomi,7
7,78,Парфюмерия Fragrance World,11
6,61,Наручные часы Jacques Lemans,9
8,66,Вентиляторы Scarlett,5
6,50,Ноутбуки Huawei,12
8,41,Газонокосилки Champion,12
7,74,Умные часы и браслеты Xiaomi,12
7,34,Телевизоры LG,8
8,8,Наручные часы Xiaomi,12
7,40,Кин,11
7,46,Ноутбуки Samsung:HP,11
8,23,Вентиляторы Centek,12
8,17,Микроволновые печи Midea,6
7,81,Кондиционеры Ballu,13
8,33,Наушники Apple,9
7,40,Ноутбуки Samsung:HP,7
6,32,Ноутбуки Asus,14
8,73,Кондиционеры Hisense,16
7,44,Ноутбуки Samsung:HP,12
7,27,Умные часы и браслеты Apple,13
8,54,Наушники Xiaomi,10
8,13,Кофеварки и кофемашины TEENRA,13
7,26,Кондиционеры Electrolux,9
6,89,Холодильники Samsung,16
8,89,Газонокосилки Ресанта,15
6,61,Планшеты Xiaomi,17
6,61,Гироскутеры Hoverbot,11
6,97,Умные часы и браслеты Xiaomi,6
7,47,Чемодан,8
6,75,Велосипеды STELS,9
8,48,Парфюмерия Giorgio Armani,15
8,42,Вентиляторы Ballu,9
6,94,Ноутбуки Apple,8
6,90,Холодильники Nordfrost,6
7,31,Смартфоны Apple,9
6,100,Наушники Xiaomi,5
8,33,Наручные часы Casio,13
8,66,Вентиляторы Centek,14
6,9,Вентиляторы Scarlett,13
6,95,Ролик,10
8,91,Палатки Tplus,15
6,36,Смартфоны Xiaomi,9
8,10,Чемодан,8
7,82,Кин,10
6,83,Кондиционеры Ballu,5
7,31,Экскурс,13
6,28,Кондиционеры Haier,11
7,96,Умные часы и браслеты Xiaomi,9
8,48,Велосипеды Forward,11
6,85,Велосипеды STELS,6
8,9,Гироскутеры GT,14
8,84,Смартфоны One Plus,8
6,55,Велосипеды Stark,13
6,83,Вентиляторы Scarlett,14
7,38,Телевизоры Samsung,8
7,44,Смартфоны Apple,9
8,70,Парфюмерия Fragrance World,12
8,69,Чемодан,12
7,62,Концерт,7
7,22,Наушники JBL,10
6,80,Вентиляторы Ballu,13
6,44,Парфюмерия Giorgio Armani,11
7,43,Кофеварки и кофемашины TEENRA,12
6,71,Планшеты Xiaomi,9
8,70,Компьютерные кресл,12
8,4,Палатки Talberg,13
6,39,Ноутбуки Xiaomi,12
6,95,Сумк,8
8,14,Умные часы и браслеты Samsung,12
8,59,Палатки High Peak,14
6,37,Наручные часы Jacques Lemans,9
7,44,Экскурс,6
6,44,Смартфоны Huawei,13
6,37,Газонокосилки Зубр,14
8,32,Кондиционеры Electrolux,9
7,93,Сериал,12
6,60,Кин,17
6,77,Кофеварки и кофемашины DeLonghi,7
7,77,Гироскутеры Hoverbot,13
6,16,Умные часы и браслеты Samsung,10
7,32,Палатки BTrace,7
7,64,Ноутбуки Huawei,14
8,74,Кондиционеры ROYAL Clima,15
7,14,Телевизоры LG,10
8,73,Чемодан,10
7,87,Холодильники Бирюса,24
7,20,Наушники Beats,10
7,27,Палатки High Peak,13
8,37,Кондиционеры Ballu,12
8,44,Ноутбуки Lenovo,8
7,84,Кондиционеры Hisense,10
8,75,Кондиционеры Electrolux,11
8,43,Ноутбуки Acer,11
6,7,Холодильники Beko,10
8,26,Парфюмерия Fragrance World,14
7,65,Умные часы и браслеты Apple,8
8,47,Гироскутеры GT,10
7,97,Умные часы и браслеты Samsung,11
6,79,Ролик,8
8,57,Велосипеды Stark,9
8,13,Планшеты Lenovo,10
7,89,Холодильники Nordfrost,9
8,17,Кофеварки и кофемашины Bosch,14
6,85,Вентиляторы Centek,7
8,25,Газонокосилки PATRIOT,9
6,53,Кондиционеры ROYAL Clima,7
6,74,Ноутбуки Huawei,9
7,92,Палатки Talberg,10
7,69,Ноутбуки Asus,12
6,81,Экскурс,7
7,10,Планшеты BQ,10
8,61,Планшеты Xiaomi,7
7,92,Смартфоны Huawei,8
8,81,Смартфоны Xiaomi,9
7,66,Газонокосилки Зубр,8
6,43,Сумк,9
6,97,Наушники Apple,8
8,75,Газонокосилки Ресанта,8
8,15,Планшеты BQ,8
7,52,Наушники Beats,15
6,8,Планшеты Samsung,15
7,0,Надувные бассейн,7
7,33,Кондиционеры Haier,9
6,66,Палатки Tplus,16
7,61,Планшеты Samsung,12
6,71,Микроволновые печи Bosch,8
8,-2,Велосипеды Stinger,5
8,24,Сумк,13
6,48,Ноутбуки Apple,11
7,82,Планшеты BQ,8
8,19,Газонокосилки Зубр,8
7,24,Велосипеды Novatrack,9
8,67,Парфюмерия Fragrance World,9
6,39,Велосипеды Forward,10
8,92,Купальник,12
8,98,Смартфоны Xiaomi,9
7,21,Кондиционеры Electrolux,8
8,48,Газонокосилки Champion,13
8,93,Смартфоны Apple,8
7,39,Микроволновые печи Bosch,7
8,49,Ноутбуки Lenovo,8
7,63,Гироскутеры Hoverbot,9
6,61,Смартфоны One Plus,12
8,29,Микроволновые печи Midea,10
6,81,Наушники Apple,9
7,49,Туристические рюкзак,5
8,9,Велосипеды STELS,9
7,53,Палатки Tplus,13
7,46,Наушники JBL,12
8,5,Планшеты Huawei,9
6,19,Вентиляторы Centek,9
8,45,Концерт,6
7,16,Кофеварки и кофемашины DeLonghi,5
8,64,Палатки Tplus,10
8,86,Вентиляторы Ballu,15
6,16,Парфюмерия Killian,7
8,55,Микроволновые печи Gorenje,5
8,92,Умные часы и браслеты Samsung,10
7,92,Холодильники Samsung,12
8,19,Кофеварки и кофемашины Bosch,8
6,98,Вентиляторы Centek,5
6,67,Телевизоры Xiaomi,7
7,69,Палатки Tplus,11
7,53,Планшеты Xiaomi,14
7,57,Велосипеды Novatrack,12
7,75,Кофеварки и кофемашины DeLonghi,9
8,65,Ноутбуки Acer,7
8,43,Кофеварки и кофемашины Bosch,6
6,38,Велосипеды Novatrack,12
6,89,Сумк,13
6,59,Палатки Tplus,10
7,66,Смартфоны Xiaomi,6
8,46,Ноутбуки Acer,7
6,42,Наручные часы Jacques Lemans,12
7,100,Холодильники Atlant,6
7,93,Наушники Beats,8
7,95,Планшеты Huawei,14
6,45,Наушники Beats,8
6,83,Ноутбуки Apple,9
6,24,Наушники Apple,12
7,20,Парфюмерия Fragrance World,11
7,31,Наручные часы Jacques Lemans,7
6,89,Планшеты Huawei,7
7,90,Холодильники Nordfrost,8
7,84,Наушники Beats,10
6,10,Телевизоры LG,7
7,68,Кофеварки и кофемашины Bosch,7
8,59,Кондиционеры ROYAL Clima,12
8,30,Телевизоры Xiaomi,9
7,92,Велосипеды Stinger,12
7,24,Чемодан,12
8,21,Гироскутеры GT,14
6,64,Парфюмерия Killian,6
6,77,Гироскутеры MiniPro,8
7,71,Телевизоры Xiaomi,8
6,14,Наручные часы Casio,7
8,4,Концерт,7
7,65,Наручные часы Traser,8
7,57,Кондиционеры Hisense,10
8,64,Газонокосилки Зубр,13
8,7,Палатки BTrace,10
7,91,Микроволновые печи Midea,10
6,24,Газонокосилки Зубр,7
8,33,Наручные часы Traser,12
6,54,Велосипеды Novatrack,8
7,58,Телевизоры LG,15
7,52,Микроволновые печи Midea,7
8,97,Гироскутеры GT,10
8,1,Ноутбуки Apple,7
8,43,Смартфоны One Plus,10
6,10,Телевизоры Samsung,5
7,74,Палатки High Peak,12
7,35,Парфюмерия Killian,15
7,28,Палатки Tplus,9
8,36,Велосипеды Novatrack,12
6,76,Смартфоны Samsung,10
7,13,Планшеты Lenovo,9
7,68,Ноутбуки Asus,8
6,7,Наручные часы Apple,10
8,68,Планшеты Samsung,9
8,31,Ролик,7
6,68,Планшеты Samsung,8
8,58,Ноутбуки Acer,13
6,27,Холодильники Samsung,12
7,74,Кофеварки и кофемашины DeLonghi,14
7,8,Велосипеды Stinger,7
7,13,Велосипеды Stark,11
8,31,Смартфоны One Plus,7
8,19,Газонокосилки Ресанта,10
7,5,Велосипеды Stinger,8
6,95,Газонокосилки Champion,8
6,15,Наручные часы Jacques Lemans,7
6,88,Вентиляторы Scarlett,7
7,99,Купальник,8
7,40,Ноутбуки Xiaomi,10
7,31,Путешестви,7
6,77,Путешестви,14
8,35,Ноутбуки Apple,7
8,9,Кондиционеры Haier,12
7,22,Кондиционеры ROYAL Clima,8
6,34,Газонокосилки Huter,8
6,37,Чемодан,12
8,30,Наушники JBL,7
7,39,Туристические рюкзак,7
6,40,Смартфоны Huawei,7
7,42,Кин,7
7,95,Гироскутеры GT,10
6,67,Парфюмерия Fragrance World,12
7,69,Вентиляторы Ballu,8
6,38,Вентиляторы Scarlett,13
7,78,Кондиционеры Electrolux,6
6,0,Сумк,7
6,38,Путешестви,10
6,49,Парфюмерия Giorgio Armani,6
6,74,Микроволновые печи Bosch,10
7,15,Компьютерные кресл,9
7,48,Наушники Apple,11
8,39,Парфюмерия Giorgio Armani,11
7,54,Планшеты Samsung,5
6,53,Велосипеды Stark,7
7,19,Концерт,16
7,72,Велосипеды Stark,11
8,52,Ноутбуки Acer,8
7,13,Ноутбуки Samsung:HP,9
6,57,Газонокосилки Champion,12
7,8,Наушники Apple,10
7,49,Велосипеды STELS,10
7,85,Палатки Alexika,6
7,82,Газонокосилки Зубр,11
6,62,Палатки Tplus,11
8,23,Ноутбуки Huawei,13
7,43,Ноутбуки Huawei,9
7,86,Телевизоры LG,17
6,47,Микроволновые печи Midea,13
7,101,Палатки Alexika,5
6,56,Микроволновые печи Bosch,9
8,66,Велосипеды Forward,13
7,93,Газонокосилки Зубр,10
7,80,Палатки High Peak,6
8,97,Велосипеды STELS,12
7,78,Телевизоры Samsung,8
6,37,Холодильники Atlant,8
7,84,Холодильники Atlant,10
7,45,Газонокосилки Зубр,18
8,33,Газонокосилки Champion,10
8,1,Парфюмерия Killian,7
8,4,Велосипеды Forward,6
7,77,Умные часы и браслеты Apple,13
7,36,Палатки Talberg,14
6,6,Наручные часы Jacques Lemans,9
7,59,Телевизоры Xiaomi,10
6,93,Газонокосилки Зубр,12
6,77,Холодильники Beko,10
8,81,Велосипеды Stark,12
7,8,Умные часы и браслеты Xiaomi,7
8,99,Наушники Beats,5
6,52,Кофеварки и кофемашины DeLonghi,10
8,101,Концерт,6
6,18,Холодильники Бирюса,9
6,24,Ноутбуки Xiaomi,8
7,80,Велосипеды Stark,11
8,97,Палатки Talberg,7
7,69,Планшеты Xiaomi,8
6,72,Наушники Beats,12
6,11,Надувные бассейн,12
6,87,Микроволновые печи Gorenje,6
7,10,Кофеварки и кофемашины DeLonghi,13
8,6,Велосипеды Forward,8
8,16,Наручные часы Xiaomi,13
8,22,Холодильники Бирюса,10
6,100,Планшеты BQ,7
7,38,Планшеты Lenovo,8
7,64,Палатки High Peak,6
7,49,Холодильники LG,13
7,79,Наручные часы Jacques Lemans,10
6,26,Кондиционеры Hisense,9
7,52,Планшеты Xiaomi,8
7,65,Надувные бассейн,10
8,30,Микроволновые печи Maunfeld,8
6,63,Кондиционеры Haier,13
6,57,Ноутбуки Lenovo,9
7,62,Планшеты Apple,10
7,66,Газонокосилки Huter,7
7,25,Ноутбуки Apple,9
7,87,Парфюмерия Giorgio Armani,12
8,56,Парфюмерия Giorgio Armani,10
7,57,Умные часы и браслеты Apple,10
7,48,Планшеты Apple,10
8,35,Холодильники Atlant,13
6,100,Вентиляторы Ballu,6
8,92,Микроволновые печи Midea,6
8,59,Велосипеды Forward,11
7,53,Холодильники Nordfrost,14
8,28,Концерт,11
6,91,Ноутбуки Asus,10
7,67,Микроволновые печи Bosch,7
8,41,Телевизоры Xiaomi,10
7,56,Кофеварки и кофемашины DeLonghi,12
7,73,Умные часы и браслеты Apple,7
8,-1,Телевизоры Xiaomi,5
7,76,Ноутбуки Samsung:HP,6
7,96,Смартфоны Samsung,8
6,28,Смартфоны Xiaomi,9
7,97,Ноутбуки Apple,5
8,14,Телевизоры Samsung,12
7,52,Палатки High Peak,5
8,35,Гироскутеры MiniPro,8
7,16,Палатки BTrace,9
7,28,Наручные часы Apple,11
7,37,Сумк,11
6,60,Ролик,6
7,67,Смартфоны Xiaomi,11
7,86,Наушники JBL,8
8,16,Телевизоры Samsung,11
6,58,Гироскутеры MiniPro,8
7,8,Планшеты Samsung,10
6,61,Велосипеды Stark,7
8,83,Наручные часы Jacques Lemans,9
8,35,Газонокосилки Ресанта,11
8,42,Палатки BTrace,10
8,57,Газонокосилки Huter,9
8,11,Смартфоны Xiaomi,7
7,35,Вентиляторы Scarlett,14
8,46,Планшеты Xiaomi,12
8,59,Микроволновые печи Bosch,10
6,91,Велосипеды Novatrack,9
6,33,Сериал,11
7,18,Чемодан,10
6,73,Микроволновые печи Gorenje,9
6,15,Купальник,13
6,73,Кондиционеры Ballu,11
6,6,Наручные часы Xiaomi,8
6,21,Велосипеды Forward,6
7,70,Экскурс,12
6,88,Холодильники Beko,15
7,26,Планшеты Huawei,6
8,89,Сериал,9
6,5,Сумк,5
7,74,Планшеты Xiaomi,16
7,51,Парфюмерия Giorgio Armani,10
6,45,Холодильники Samsung,6
6,21,Наушники JBL,10
8,48,Гироскутеры MiniPro,12
7,23,Ноутбуки Lenovo,5
8,88,Велосипеды Forward,7
8,59,Сумк,10
7,90,Газонокосилки Huter,17
7,64,Смартфоны One Plus,11
7,60,Наручные часы Xiaomi,10
7,40,Наручные часы Traser,13
8,49,Велосипеды Stinger,6
7,0,Ролик,5
8,7,Наушники JBL,11
7,3,Палатки BTrace,5
6,33,Смартфоны Samsung,7
7,97,Газонокосилки PATRIOT,11
7,91,Телевизоры Xiaomi,10
8,30,Купальник,8
7,32,Сумк,7
7,71,Холодильники Atlant,5
7,75,Кондиционеры Hisense,9
7,73,Смартфоны Apple,9
6,26,Кофеварки и кофемашины TEENRA,8
6,44,Холодильники Nordfrost,10
8,93,Планшеты Xiaomi,13
6,40,Смартфоны Xiaomi,12
7,58,Палатки BTrace,12
6,19,Умные часы и браслеты Xiaomi,7
7,53,Умные часы и браслеты Samsung,9
7,80,Туристические рюкзак,11
8,34,Ноутбуки Apple,7
7,75,Путешестви,8
7,11,Путешестви,13
7,48,Вентиляторы Centek,14
8,78,Планшеты Apple,10
8,94,Вентиляторы Equation,13
6,86,Наушники JBL,12
6,59,Велосипеды Stark,12
8,89,Велосипеды Novatrack,10
8,74,Планшеты BQ,13
8,89,Путешестви,18
7,7,Умные часы и браслеты Xiaomi,8
